"Venue_ID","Venue_Name","Venue_Display","Venue_Link","Venue_Distance","Venue_PostCode","Venue_LongName","xVenue_PitchCost","Venue_ShortName"
63,"Perse Boys Indoor","Perse Boys","",0,"","Perse Boys Indoor",0,"Perse Boys Indoor"
11,"Perse Girls","Perse Girls","[wblink45]",0,"CB2 7EJ","Perse Girls School",,"Perse Girls"
62,"Phoenix","Away","",45,"CM7 5LJ","Phoenix Braintree",0,"Phoenix"
21,"Royston Bass","Away","http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Bassingbourn Barracks",13,"SG8 5LX","Bassingbourn Barracks",,"Royston"
74,"Sandy","Away","http://www.sheffordandsandy.co.uk/directions.php",25,"SG19 1BL","Sandy Upper School",0,"Sandy Upper School"
66,"Sawtry","Away","http://www.facebook.com/group.php?gid=126502377367384#!/group.php?gid=126502377367384&v=photos",43,"PE8 4JJ","Sawtry Oundle",0,"Sawtry"
27,"Spalding Gleed","Away","http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Gleed Boys School",57.5,"PE11 2EF","Gleed Boys School",,"Spalding Gleed"
28,"Spalding Glen","Away","http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Glen Park Astro - Spalding HC",64,"PE11 4DB","Glen Park",,"Spalding Glen"
81,"St Edmunds","Away","http://www.roystonhockey.co.uk/location/default.aspx",60,"SG11 1DS","St Edmunds College",0,"St Edmunds College"
7,"St Ives","Away","http://www.stiveshockeyclub.co.uk/directions.php",18.5,"PE27 6SJ","St Ivo Outdoor Centre",,"One Leisure"
79,"St John's","St John's","http://www.cambridgesouthhockeyclub.co.uk/pages/about/pitch-directions/st-johns-college.php",0,"","St John's College",0,"St John's College"
37,"St Neots","Away","http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=St Neots HC astro",20,"PE19 2SA","St Neots HC",,"St Neots"
57,"Stamford High School","Away","http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Stamford High School",45,"PE9 2LR","Stamford High School",0,"Stamford High School"
46,"TBC","TBC","",0,"","TBC",,"TBC"
12,"Univ","Univ","[wblink200]",0,"CB3 0EQ","Wilberforce Road",63,"Cambridge University Astro"
3,"Uppingham","Away","http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Uppingham School",52.5,"LE15 9QE","Uppingham School",,"Uppingham"
55,"Voyager School","Away","http://tinyurl.com/22oeftg",42,"PE4 6HX","Voyager School",0,"Voyager School"
59,"Walden CH","Away","http://www.east-hockey.co.uk/clubs/AstroSearchResult.asp?astro=Saffron+Walden+County+High+School&Submit22=Go%21",26,"CB11 4UH","Saffron Walden County High",0,"Saffron Walden"
31,"Wisbech","Away","http://www.east-hockey.co.uk/clubs/astrosearchresult.asp?astro=Wisbech Town HC astro",37.5,"PE13 1RR","Wisbech Town Astro",,"Wisbech"
